Lesotho                   Southern Africa      ESA       AFR       sub-Saharan Africa          Lower middle income
Liberia                   Western Africa       WCA       AFR       sub-Saharan Africa          Low income
Libya                     Northern Africa      MENA      EMR       Northern Africa             Upper middle income
Lithuania                 Northern Europe      Dev       EUR       Developed regions           Upper middle income
Liechtenstein             Western Europe       Dev                 Developed regions           High income
Luxembourg                Western Europe       Dev       EUR       Developed regions           High income
Madagascar                Eastern Africa       ESA       AFR       sub-Saharan Africa          Low income
Malawi                    Eastern Africa       ESA       AFR       sub-Saharan Africa          Low income
Malaysia                  South-Eastern Asia   EAP       WPR       South-Eastern Asia          Upper middle income
Maldives                  South-Central Asia   SA        SEAR      Southern Asia               Upper middle income
Mali                      Western Africa       WCA       AFR       sub-Saharan Africa          Low income
Malta                     Southern Europa      Dev       EUR       Developed regions           High income
Marshall Islands          Micronesia           EAP       WPR       Oceania                     Lower middle income
Martinique                Caribbean                                Caribbean
Mauritania                Western Africa       WCA       AFR       sub-Saharan Africa          Low income
Mauritius                 Eastern Africa       ESA       AFR       sub-Saharan Africa          Upper middle income
Mexico                    Central America      TAC       AMR       Latin America               Upper middle income
Micronesia (Federated
Micronesia           EAP       WPR       Oceania                     Lower middle income
States of)
Monaco                    Western Europe       Dev       EUR       Developed regions           High income
Mongolia                  Eastern Asia         EAP       WPR       Eastern Asia                Lower middle income
Montenegro                Southern Europa      CEE-CIS   EUR       Developed regions           Upper middle income
Montserrat                Caribbean                                Caribbean
Morocco                   Northern Africa      MENA      EMR       Northern Africa             Lower middle income
Mozambique                Eastern Africa       ESA       AFR       sub-Saharan Africa          Low income
Myanmar                   South-Eastern Asia   EAP       SEAR      South-Eastern Asia          Low income
Namibia                   Southern Africa      ESA       AFR       sub-Saharan Africa          Upper middle income
Nauru                     Micronesia           EAP       WPR       Oceania
Nepal                     South-Central Asia   SA        SEAR      Southern Asia               Low income
Netherlands               Western Europe       Dev       EUR       Developed regions           High income
Netherlands Antilles      Caribbean                                Caribbean
New Caledonia             Melanesia                                Oceania                     High income
New Zealand               Australia            Dev       WPR       Developed regions           High income
Nicaragua                 Central America      TAC       AMR       Latin America               Lower middle income
Niger              Western Africa       WCA       AFR       sub-Saharan Africa          Low income
Nigeria                   Western Africa       WCA       AFR       sub-Saharan Africa          Lower middle income
Niue                      Polynesia            EAP       WPR       Oceania
Norway                    Northern Europe      Dev       EUR       Developed regions           High income
Oman                      Western Asia         MENA      EMR       Western Asia                High income
Pakistan                  South-Central Asia   SA        EMR       Southern Asia               Lower middle income
Palau                     Micronesia           EAP       WPR       Oceania                     Upper middle income
Panama                    Central America      TAC       AMR       Latin America               Upper middle income
Papua New Guinea          Melanesia            EAP       WPR       Oceania                     Lower middle income
Paraguay                  South America        TAC       AMR       Latin America               Lower middle income
Peru                      South America        TAC       AMR       Latin America               Upper middle income
Philippines (The)         South-Eastern Asia   EAP       WPR       South-Eastern Asia          Lower middle income
Poland                  Eastern Europe       Dev       EUR       Developed regions           High income
Portugal                Southern Europa      Dev       EUR       Developed regions           High income
Puerto Rico             Caribbean                                Caribbean                   High income
Qatar                   Western Asia         MENA      EMR       Western Asia                High income
South Korea       Eastern Asia         EAP       WPR       Eastern Asia                High income
Reunion                 Eastern Africa                           sub-Saharan Africa
Moldova     Eastern Europe       CEE-CIS   EUR       Developed regions           Lower middle income
Romania                 Eastern Europe       CEE-CIS   EUR       Developed regions           Upper middle income
Russia    Eastern Europe       CEE-CIS   EUR       Developed regions           Upper middle income
Rwanda                  Eastern Africa       ESA       AFR       sub-Saharan Africa          Low income
Saint Kitts and Nevis   Caribbean            TAC       AMR       Caribbean                   High income
Saint Lucia             Caribbean            TAC       AMR       Caribbean                   Upper middle income
Saint Vincent and the
Caribbean            TAC       AMR       Caribbean                   Upper middle income
Grenadines
Samoa                   Polynesia            EAP       WPR       Oceania                     Lower middle income
San Marino              Southern Europa      Dev       EUR       Developed regions           High income
Sao Tome and Principe   Middle Africa        WCA       AFR       sub-Saharan Africa          Lower middle income
Saudi Arabia            Western Asia         MENA      EMR       Western Asia                High income
Senegal                 Western Africa       WCA       AFR       sub-Saharan Africa          Lower middle income
Serbia                  Southern Europa      CEE-CIS   EUR       Developed regions           Upper middle income
Seychelles              Eastern Africa       ESA       AFR       sub-Saharan Africa          Upper middle income
Sierra Leone            Western Africa       WCA       AFR       sub-Saharan Africa          Low income
Singapore               South-Eastern Asia   EAP       WPR       South-Eastern Asia          High income
Slovakia                Eastern Europe       Dev       EUR       Developed regions           High income
Slovenia                Eastern Europe       Dev       EUR       Developed regions           High income
Solomon Islands         Melanesia            EAP       WPR       Oceania                     Lower middle income
Somalia                 Eastern Africa       ESA       EMR       sub-Saharan Africa          Low income
South Africa            Southern Africa      ESA       AFR       sub-Saharan Africa          Upper middle income
South Sudan4           Northern Africa      ESA       EMR       sub-Saharan Africa          Lower middle income
Spain                   Southern Europa      Dev       EUR       Developed regions           High income
Sri Lanka               South-Central Asia   SA        SEAR      Southern Asia               Lower middle income
Sudan          Northern Africa      MENA      EMR       sub-Saharan Africa          Lower middle income
Suriname                South America        TAC       AMR       Latin America               Upper middle income
Swaziland               Southern Africa      ESA       AFR       sub-Saharan Africa          Lower middle income
Sweden                  Northern Europe      Dev       EUR       Developed regions           High income
Switzerland             Western Europe       Dev       EUR       Developed regions           High income
Syrian Arab Republic
Western Asia         MENA      EMR       Western Asia                Lower middle income
(The)
Tajikistan              South-Central Asia   CEE-CIS   EUR       Caucasus and Central Asia   Low income
Thailand                South-Eastern Asia   EAP       SEAR      South-Eastern Asia          Upper middle income
The Former Yugoslav
Southern Europa      CEE-CIS   EUR       Developed regions           Upper middle income
Republic of Macedonia
Timor-Leste             South-Eastern Asia   EAP       SEAR      South-Eastern Asia          Lower middle income
Togo                    Western Africa       WCA       AFR       sub-Saharan Africa          Low income
Tokelau                 Polynesia                                Oceania
Tonga                   Polynesia            EAP       WPR       Oceania                     Lower middle income
Trinidad and Tobago     Caribbean            TAC       AMR       Caribbean                   High income
Tunisia                 Northern Africa      MENA      EMR       Northern Africa             Upper middle income
Turkey                  Western Asia         CEE-CIS   EUR       Western Asia                Upper middle income
Turkmenistan            South-Central Asia   CEE-CIS   EUR       Caucasus and Central Asia   Upper middle income
Turks and Caicos
Caribbean                                Caribbean                   High income
Islands
Tuvalu                  Polynesia            EAP       WPR       Oceania                     Upper middle income
Uganda                  Eastern Africa       ESA       AFR       sub-Saharan Africa          Low income
Ukraine                 Eastern Europe       CEE-CIS   EUR       Developed regions           Lower middle income
United Arab Emirates    Western Asia         MENA      EMR       Western Asia                High income
United Kingdom    Northern Europe      Dev       EUR       Developed regions           High income
United Republic of
Eastern Africa        ESA          AFR         sub-Saharan Africa            Low income
Tanzania (The)
United States      Northern America      Dev          AMR         Developed regions             High income
Uruguay                   South America         TAC          AMR         Latin America                 Upper middle income
Uzbekistan                South-Central Asia    CEE-CIS      EUR         Caucasus and Central Asia     Lower middle income
Vanuatu                   Melanesia             EAP          WPR         Oceania                       Lower middle income
Venezuela     South America         TAC          AMR         Latin America                 Upper middle income
Vietnam                  South-Eastern Asia    EAP          WPR         South-Eastern Asia            Lower middle income
Virgin Islands (USA)      Caribbean                                      Caribbean                     High income
Wallis and Futuna         Polynesia
West Bank and Gaza        Western Asia                                   Western Asia                  Lower middle income
Yemen                     Western Asia          MENA         EMR         Western Asia                  Lower middle income
Zambia                    Eastern Africa        ESA          AFR         sub-Saharan Africa            Lower middle income
Zimbabwe                  Eastern Africa        ESA          AFR         sub-Saharan Africa            Low income

